"ļ»æ""Type of meat""",Indicator,1 January 2002 - 31 December 2002,1 January 2003 - 31 December 2003,1 January 2004 - 31 December 2004,1 January 2005 - 31 December 2005,1 January 2006 - 31 December 2006,1 January 2007 - 31 December 2007,1 January 2008 - 31 December 2008,1 January 2009 - 31 December 2009,1 January 2010 - 31 December 2010,1 January 2011 - 31 December 2011,1 January 2012 - 31 December 2012,1 January 2013 - 31 December 2013,1 January 2014 - 31 December 2014,1 January 2015 - 31 December 2015,1 January 2016 - 31 December 2016,1 January 2017 - 31 December 2017,1 January 2018 - 31 December 2018,1 January 2019 - 31 December 2019,1 January 2020 - 31 December 2020,1 January 2021 - 31 December 2021,1 January 2022 - 31 December 2022,1 January 2023 - 31 December 2023,1 January 2024 - 31 December 2024
Pork,"Domestic use, thousand tons",37.0,40.3,44.3,46.7,47.0,47.9,50.4,46.1,42.4,47.4,44.7,46.9,48.7,55.0,58.1,53.7,56.6,55.2,53.3,55.9,53.3,51.9,58.4
Pork,"..loss, thousand tons",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pork,"..used as animal feed, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pork,"..human consumption, thousand tons",36.9,40.2,44.2,46.6,46.9,47.8,50.3,46.0,42.3,47.3,44.6,46.8,48.6,54.9,58.0,53.5,56.5,55.1,53.2,55.8,53.2,51.8,58.3
Pork,"....human consumption per capita**, kilograms",26.8,29.3,32.4,34.4,34.8,35.7,37.6,34.5,31.8,35.6,33.7,35.5,37.0,41.8,44.2,40.7,42.8,41.6,40.0,42.0,39.9,37.9,42.4
Sheep and goats meat,"Gross indigenous production*, thousand tons",0.3,0.4,0.3,0.4,0.5,0.6,0.9,0.8,0.7,0.6,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.4
Sheep and goats meat,"Imports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sheep and goats meat,"Exports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sheep and goats meat,"Imports of meat, thousand tons",0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.3,0.4,0.5,0.4,0.4
Sheep and goats meat,"Exports of meat, thousand tons",0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3
Sheep and goats meat,"Changes in stocks, thousand tons",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,..,..,..,..,..,..,..
Sheep and goats meat,"Domestic use, thousand tons",0.3,0.4,0.3,0.3,0.6,0.7,1.1,0.9,0.7,0.6,0.4,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.6,0.6,0.6,0.6,0.5
Sheep and goats meat,"..loss, thousand tons",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep and goats meat,"..used as animal feed, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sheep and goats meat,"..human consumption, thousand tons",0.3,0.4,0.3,0.3,0.6,0.7,1.1,0.9,0.7,0.6,0.4,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.6,0.6,0.6,0.6,0.5
Sheep and goats meat,"....human consumption per capita**, kilograms",0.2,0.3,0.2,0.2,0.4,0.5,0.8,0.7,0.5,0.5,0.3,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.4
Poultry meat,"Gross indigenous production*, thousand tons",11.4,14.4,15.0,13.7,12.5,11.5,13.2,14.9,16.0,17.5,16.5,18.1,19.4,19.8,19.7,20.4,19.3,20.3,22.3,23.3,23.1,22.9,22.2
Poultry meat,"Imports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poultry meat,"Exports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poultry meat,"Imports of meat, thousand tons",20.7,20.3,14.6,14.8,16.6,17.4,17.7,18.8,21.6,22.2,21.1,21.8,20.3,21.8,25.1,22.4,32.5,26.8,25.7,27.4,27.9,27.7,29.0
Poultry meat,"Exports of meat, thousand tons",3.5,5.2,4.6,3.2,4.6,4.2,5.6,5.4,7.1,10.9,8.0,9.5,8.6,9.1,9.7,9.3,10.6,11.6,11.8,12.7,12.0,12.9,13.2
Poultry meat,"Changes in stocks, thousand tons",0.1,0.7,-0.9,0.1,1.0,1.0,-0.6,-0.3,0.7,-0.7,0.4,-0.2,0.3,0.0,0.8,-0.4,..,..,..,..,..,..,..
Poultry meat,"Domestic use, thousand tons",28.5,28.8,25.9,25.2,23.5,23.7,25.9,28.6,29.8,29.5,29.2,30.6,30.8,32.5,34.3,33.9,41.2,35.5,36.2,38.0,39.0,37.7,38.0
Poultry meat,"..loss, thousand tons",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poultry meat,"..used as animal feed, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poultry meat,"..human consumption, thousand tons",28.5,28.8,25.9,25.2,23.5,23.7,25.9,28.6,29.8,29.5,29.2,30.6,30.8,32.5,34.3,33.9,41.2,35.5,36.2,38.0,39.0,37.7,38.0
Poultry meat,"....human consumption per capita**, kilograms",20.7,21.0,19.0,18.6,17.4,17.7,19.4,21.4,22.4,22.2,22.1,23.2,23.4,24.7,26.1,25.8,31.2,26.8,27.2,28.6,29.3,27.6,27.6
Meat of other animals,"Gross indigenous production*, thousand tons",0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,..,..,..,..,..,..,..,..,..
Meat of other animals,"Imports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Meat of other animals,"Exports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Meat of other animals,"Imports of meat, thousand tons",0.9,0.3,0.2,0.0,0.2,0.4,0.1,0.0,0.0,0.1,0.2,0.3,0.4,0.4,..,..,..,..,..,..,..,..,..
Meat of other animals,"Exports of meat, thousand tons",0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.3,0.4,0.2,..,..,..,..,..,..,..,..,..
Meat of other animals,"Changes in stocks, thousand tons",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,..,..,..,..,..,..,..,..,..
Meat of other animals,"Domestic use, thousand tons",0.8,0.3,0.2,0.1,0.2,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,..,..,..,..,..,..,..,..,..
Meat of other animals,"..loss, thousand tons",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..,..,..,..
Meat of other animals,"..used as animal feed, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Meat of other animals,"..human consumption, thousand tons",0.8,0.3,0.2,0.1,0.2,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,..,..,..,..,..,..,..,..,..
Meat of other animals,"....human consumption per capita**, kilograms",0.6,0.2,0.1,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,..,..,..,..,..,..,..,..,..
Offals,"Gross indigenous production*, thousand tons",2.7,2.5,2.5,2.5,2.5,2.6,2.6,2.3,2.3,2.2,2.4,2.3,2.5,2.6,2.7,2.5,2.6,2.6,2.7,2.6,2.5,2.3,2.4
Offals,"Imports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Offals,"Exports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Offals,"Imports of meat, thousand tons",3.6,5.6,5.0,4.7,4.0,4.5,4.9,5.0,5.8,5.0,4.1,3.9,3.3,3.6,4.0,4.2,4.9,4.5,4.2,4.1,5.4,6.8,6.6
Offals,"Exports of meat, thousand tons",0.1,0.1,0.5,1.2,1.0,1.9,2.0,1.9,2.1,2.7,2.8,2.8,3.2,2.9,3.1,4.3,4.3,4.4,4.8,4.5,5.2,4.4,6.1
Offals,"Changes in stocks, thousand tons",0.0,0.0,0.1,0.1,0.7,0.7,-0.4,-0.5,0.2,-0.3,0.3,-0.1,0.2,0.8,0.0,-0.1,..,..,..,..,..,..,..
Offals,"Domestic use, thousand tons",6.2,8.0,6.9,5.9,4.8,4.5,5.9,5.9,5.8,4.8,3.4,3.5,2.4,2.5,3.5,2.5,3.1,2.7,2.1,2.2,2.7,4.7,2.9
Offals,"..loss, thousand tons",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offals,"..used as animal feed, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Offals,"..human consumption, thousand tons",6.2,8.0,6.9,5.9,4.8,4.5,5.9,5.9,5.8,4.8,3.4,3.5,2.4,2.5,3.5,2.5,3.1,2.7,2.1,2.2,2.7,4.7,2.9
Offals,"....human consumption per capita**, kilograms",4.5,5.8,5.1,4.4,3.6,3.4,4.4,4.4,4.4,3.6,2.6,2.7,1.8,1.9,2.7,2.0,2.4,2.1,1.6,1.7,2.0,3.4,2.1
